,DK1-offshore,DK1-offshore,DK1-offshore,DK1-offshore,DK1-onshore,DK1-onshore,DK1-onshore,DK1-onshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-onshore,DK2-onshore,DK2-onshore,DK2-onshore
2024-09-17 21:00:00,31.680902663827567,132.57959255769384,166.2494593489505,209.18495838494368,102.66756150497804,159.85658820375022,218.80520291845005,297.90323550135344,6.456987605552371,109.36890587186804,158.99715221418546,241.68369747573547,21.31201606747686,48.1229408213203,60.52245988204561,78.4981057339869
2024-09-17 22:00:00,12.304318379394658,92.56448266044856,126.05996145510198,167.3805476053701,98.2861239354346,148.43562315668544,202.1666888407733,269.0604558394934,5.477444699457095,105.03252317338945,157.14910571667883,242.83098267347896,20.164318488445133,45.756483029487526,57.83781235594358,74.99629781343674
2024-09-17 23:00:00,-48.85693345843373,20.434069992941318,72.37107725482201,108.46728679798298,100.59766478057225,134.71075431154918,178.19231865697122,216.24676428754304,-1.8047684846446543,66.88324830529535,108.27312671048367,184.20003940506945,17.54567664102126,40.53960434847443,51.99040766083988,67.40534697051226
2024-09-18 00:00:00,-49.79486837712295,-3.56870256443608,34.45634276969406,53.824804704776284,77.95145589515062,111.32079263234755,149.40910950236423,180.812482011611,-1.4148991814028022,65.3055099922949,102.90722175459996,168.57591725305588,14.90230201101258,35.53776574180188,46.92675326480105,61.72489374496763
2024-09-18 01:00:00,-47.64576700825603,-6.196384788271132,23.452996143930193,38.870016563093714,73.54062445034185,109.8219320914892,148.9869297055509,181.52617937931535,0.51079950183248,81.03193294056274,120.99408702072276,183.2011872435852,12.84173145361251,32.244780913430986,43.51558769998155,57.888218781265095
2024-09-18 02:00:00,-47.22564374547753,-3.6512273932758035,26.3410624792823,41.67843813126808,76.10716506390963,129.09593999684705,170.58885860164048,212.04428505146706,1.051442100507387,86.99434774065548,130.25954033395533,197.10555066600398,12.19332300032238,31.448293010509474,42.40518835576938,56.99347369141117
2024-09-18 03:00:00,-46.5349373359021,-2.020844398598115,30.13604031807131,48.10641765746789,86.36833527836541,138.33955333558072,186.76314741584395,245.40581026818313,1.7601503592081258,90.79429279005603,134.92551046551034,200.59688487664846,14.600637645302982,34.848831838726824,45.867640456806384,60.601711469698785
2024-09-18 04:00:00,-48.560394559084074,-0.6159178193389607,34.54593315835956,58.30274721755529,99.20823104474016,158.8844529901503,214.9724712752742,296.2527198634001,3.768704419585049,103.2601706254643,148.06613157931884,210.39808814537525,19.06965445275341,41.52793200454187,53.15880676038398,68.68152702117459
2024-09-18 05:00:00,-48.2371828590409,1.8621965891309742,39.2826897452548,64.03048250276618,113.24040268432941,181.3995870959161,246.04304804596813,346.85352104468774,7.309896419942163,128.45762751215602,175.18153357991616,233.0510258780257,24.017404463028015,49.8227207518172,62.345311921999155,78.8612149324199
2024-09-18 06:00:00,-46.11905205144683,6.845403388867567,47.32699846742855,71.93875352467967,124.63254872215975,202.53341960181933,271.24446121427036,384.7397271808637,10.565819897751055,158.2457669611622,208.11676971255872,265.48892760262083,27.57728965247668,56.34284194142219,69.96076901914796,86.55337251736546
