,DK1-offshore,DK1-onshore,DK2-offshore,DK2-onshore
2024-07-31 23:00:00,274.61387184563307,408.1099981666667,16.867499833333333,33.80916666666666
2024-08-01 00:00:00,246.21882177812103,394.23333249999996,9.635,41.688332833333334
2024-08-01 01:00:00,255.3252901728467,394.10166933333335,10.049166666666666,49.277500333333336
2024-08-01 02:00:00,253.22410152928936,387.17332983333336,17.464166666666667,45.04750066666667
2024-08-01 03:00:00,263.3613789859792,386.98583733333334,41.78666666666667,39.89333333333334
2024-08-01 04:00:00,263.2202374804136,395.91083249999997,49.60833308333333,31.589166583333334
2024-08-01 05:00:00,265.9703843737952,323.08916733333336,37.66416675,22.490833666666664
2024-08-01 06:00:00,261.8781434787446,211.06333408333333,28.487499916666668,15.935833166666667
2024-08-01 07:00:00,215.64805976013992,221.52416491666668,19.54500025,14.483333333333334
2024-08-01 08:00:00,214.40489067258022,252.12499758333334,13.404166666666667,13.266666666666666
2024-08-01 09:00:00,210.8250956635966,248.81500225,2.7441666666666666,12.0625
2024-08-01 10:00:00,163.9223095499622,268.97249733333337,0.08750000000000001,13.7975
2024-08-01 11:00:00,132.91231583249848,261.63166808333335,0.05333333333333334,20.57999991666667
2024-08-01 12:00:00,142.98495796266337,261.31916416666667,1.575,21.218333666666666
2024-08-01 13:00:00,179.0639201946784,340.94083416666666,8.793333333333335,22.774166499999996
2024-08-01 14:00:00,238.92995708411445,450.02166474999996,8.689166666666667,26.6533335
2024-08-01 15:00:00,291.4240329821804,580.7058308333334,9.054166666666667,20.09333325
2024-08-01 16:00:00,315.0528323540016,593.6416575,7.966666666666666,16.787499999999998
2024-08-01 17:00:00,313.65797262526115,588.5599974166666,4.096666666666667,16.29500008333333
2024-08-01 18:00:00,284.2486055760316,521.9008331666666,1.9974999999999998,16.793333583333332
2024-08-01 19:00:00,265.2139304617318,361.86166641666665,3.9924999999999997,13.134166666666667
2024-08-01 20:00:00,205.7719503578379,274.57333366666666,5.7775,13.484166666666667
2024-08-01 21:00:00,213.6108423860508,296.7375055833333,6.927499999999999,12.923333333333334
2024-08-01 22:00:00,231.6503246232193,319.45749658333335,1.7033333333333334,13.810833416666666
2024-08-01 23:00:00,237.1466531273791,343.79583483333334,-0.04,16.876666666666665
2024-08-02 00:00:00,196.79672625520072,334.65250391666666,-0.04,22.863333
2024-08-02 01:00:00,152.41194346425462,286.06333166666667,4.745,41.93999975
2024-08-02 02:00:00,146.0813415937727,275.24666333333334,8.626666666666667,62.163334
2024-08-02 03:00:00,191.33667667391757,278.18250025000003,6.0633333333333335,39.70249966666667
2024-08-02 04:00:00,205.5411273169337,294.73249816666663,0.5116666666666667,24.940833166666668
2024-08-02 05:00:00,174.06749758881335,284.65666458333334,2.4250000000000003,26.172500166666666
2024-08-02 06:00:00,140.77363272918993,208.33499908333332,10.502500083333333,30.799999916666668
2024-08-02 07:00:00,93.24959825519474,188.9758339166667,17.110000083333333,22.903333333333332
2024-08-02 08:00:00,77.34493929330031,174.90916816666666,11.734166666666667,15.799999999999999
2024-08-02 09:00:00,64.84795180404846,135.529169,11.243333333333334,14.041666666666666
2024-08-02 10:00:00,72.37753747789357,162.94083266666667,29.079166416666666,12.516666666666666
2024-08-02 11:00:00,72.30894821227619,191.04666516666668,34.43166658333333,13.971666666666666
2024-08-02 12:00:00,60.329013261729315,214.964166,21.54583325,16.880000166666665
2024-08-02 13:00:00,64.00510261139664,290.25083408333336,30.861667083333334,19.114166416666666
2024-08-02 14:00:00,59.20323533516907,322.63583108333336,27.89500025,25.343333083333334
2024-08-02 15:00:00,50.68109388673215,307.8841653333333,32.278333249999996,36.450833333333335
2024-08-02 16:00:00,70.36010668263191,282.43166333333335,45.91333358333333,32.251667250000004
2024-08-02 17:00:00,76.57463614123606,294.78666691666666,43.65750008333333,26.849166666666665
2024-08-02 18:00:00,46.64491361303782,272.71249775,56.35999958333333,24.4558335
2024-08-02 19:00:00,32.66997141669495,184.36166641666668,57.47750058333333,21.853333333333335
2024-08-02 20:00:00,21.813175641402665,140.6141675,60.379166999999995,29.743333333333336
